Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
123,121,12435,356303,59,84291,0.288328,https://uioencryptedtraffic.no/master_files/2011_686
121,121,12255,356303,49,68401,0.277513,https://uioencryptedtraffic.no/master_files/2011_686
123,121,12435,356303,49,68401,0.3026,https://uioencryptedtraffic.no/master_files/2011_686
123,121,12435,356303,49,68401,0.292425,https://uioencryptedtraffic.no/master_files/2011_686
123,122,12435,356315,51,70041,0.2898,https://uioencryptedtraffic.no/master_files/2011_686
123,120,12435,356210,55,79392,0.283658,https://uioencryptedtraffic.no/master_files/2011_686
123,122,12435,356315,43,57329,0.289352,https://uioencryptedtraffic.no/master_files/2011_686
123,121,12435,356303,53,76138,0.309256,https://uioencryptedtraffic.no/master_files/2011_686
123,120,12435,353215,59,84276,0.285705,https://uioencryptedtraffic.no/master_files/2011_686
123,117,12435,340953,45,61888,0.27444,https://uioencryptedtraffic.no/master_files/2011_686
122,120,12345,356352,45,62114,0.263241,https://uioencryptedtraffic.no/master_files/2011_686
123,121,12435,356378,41,57146,0.278024,https://uioencryptedtraffic.no/master_files/2011_686
124,120,12525,356447,47,63835,0.273417,https://uioencryptedtraffic.no/master_files/2011_686
121,121,12255,356459,43,57479,0.268873,https://uioencryptedtraffic.no/master_files/2011_686
123,121,12435,356303,57,79560,0.284681,https://uioencryptedtraffic.no/master_files/2011_686
123,120,12435,356447,45,62045,0.252937,https://uioencryptedtraffic.no/master_files/2011_686
123,122,12435,356471,45,62045,0.263177,https://uioencryptedtraffic.no/master_files/2011_686
124,120,12525,356272,45,60395,0.272969,https://uioencryptedtraffic.no/master_files/2011_686
123,121,12435,356447,49,68226,0.252936,https://uioencryptedtraffic.no/master_files/2011_686
124,115,12525,337931,45,61973,0.266248,https://uioencryptedtraffic.no/master_files/2011_686
135,128,14049,377009,53,74237,0.267785,https://uioencryptedtraffic.no/master_files/2011_089
132,129,13327,377015,49,69877,0.732233,https://uioencryptedtraffic.no/master_files/2011_089
131,128,13155,377005,51,72789,0.275976,https://uioencryptedtraffic.no/master_files/2011_089
128,127,12885,376838,49,69782,0.29236,https://uioencryptedtraffic.no/master_files/2011_089
157,154,18857,431463,75,97147,1.010761,https://uioencryptedtraffic.no/master_files/2011_089
130,128,13065,376860,57,81045,0.296456,https://uioencryptedtraffic.no/master_files/2011_089
128,128,12885,376847,53,76214,0.287752,https://uioencryptedtraffic.no/master_files/2011_089
131,131,13167,377361,63,87678,0.341576,https://uioencryptedtraffic.no/master_files/2011_089
130,127,13065,376848,53,74689,0.267784,https://uioencryptedtraffic.no/master_files/2011_089
131,128,13155,377087,47,64924,0.289288,https://uioencryptedtraffic.no/master_files/2011_089
128,128,12885,376925,63,92104,0.288264,https://uioencryptedtraffic.no/master_files/2011_089
129,128,12975,376860,53,73151,0.2786,https://uioencryptedtraffic.no/master_files/2011_089
130,129,13065,376943,51,71280,0.290312,https://uioencryptedtraffic.no/master_files/2011_089
130,128,13065,376928,53,74757,0.277001,https://uioencryptedtraffic.no/master_files/2011_089
130,128,13065,373940,55,74941,0.315465,https://uioencryptedtraffic.no/master_files/2011_089
131,128,13155,377086,51,70016,0.286728,https://uioencryptedtraffic.no/master_files/2011_089
119,125,12075,365674,52,74492,0.334856,https://uioencryptedtraffic.no/master_files/2011_089
130,128,13065,377084,45,60657,0.270857,https://uioencryptedtraffic.no/master_files/2011_089
130,131,13521,376902,59,80073,0.542281,https://uioencryptedtraffic.no/master_files/2011_089
130,127,13065,376994,51,71507,0.271369,https://uioencryptedtraffic.no/master_files/2011_089
