Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
1957,1965,179395,6001768,647,1012655,1.367625,https://uioencryptedtraffic.no/master_files/2017_345
1977,1957,179427,5969336,563,875051,1.118793,https://uioencryptedtraffic.no/master_files/2017_345
1944,1956,176361,5983945,589,923191,1.189449,https://uioencryptedtraffic.no/master_files/2017_345
1933,1957,177271,5996208,585,919110,1.361033,https://uioencryptedtraffic.no/master_files/2017_345
1957,1980,177579,6006614,559,867921,1.172042,https://uioencryptedtraffic.no/master_files/2017_345
1937,1927,175743,5881120,577,899149,1.176136,https://uioencryptedtraffic.no/master_files/2017_345
1931,1924,175155,5875017,599,936613,1.225801,https://uioencryptedtraffic.no/master_files/2017_345
1948,1913,176674,5870544,579,905957,1.257097,https://uioencryptedtraffic.no/master_files/2017_345
1961,1926,177958,5885400,603,938034,2.109065,https://uioencryptedtraffic.no/master_files/2017_345
1959,1948,177759,5959812,587,917134,1.261641,https://uioencryptedtraffic.no/master_files/2017_345
1944,1974,176657,6001862,709,1111065,1.707657,https://uioencryptedtraffic.no/master_files/2017_345
1938,1974,175869,6002362,550,854456,1.172032,https://uioencryptedtraffic.no/master_files/2017_345
1962,1982,178089,6007091,573,884627,1.156169,https://uioencryptedtraffic.no/master_files/2017_345
1880,1885,170649,5707778,533,823313,1.131593,https://uioencryptedtraffic.no/master_files/2017_345
1936,1941,175605,5891224,629,980457,1.249929,https://uioencryptedtraffic.no/master_files/2017_345
1951,1939,178804,5909710,631,983695,1.345097,https://uioencryptedtraffic.no/master_files/2017_345
1968,1930,178533,5875490,583,910635,1.138249,https://uioencryptedtraffic.no/master_files/2017_345
1964,1922,179217,5910364,583,918029,1.174089,https://uioencryptedtraffic.no/master_files/2017_345
1969,1959,178659,5973950,567,883241,1.159304,https://uioencryptedtraffic.no/master_files/2017_345
1958,1956,177586,5996428,607,954919,1.230921,https://uioencryptedtraffic.no/master_files/2017_345
272,279,26066,823654,135,202051,0.615433,https://uioencryptedtraffic.no/master_files/2015_1038
273,278,25936,829713,103,154126,0.403529,https://uioencryptedtraffic.no/master_files/2015_1038
274,268,26026,811220,89,131786,0.392201,https://uioencryptedtraffic.no/master_files/2015_1038
275,275,26116,829677,93,138236,0.396361,https://uioencryptedtraffic.no/master_files/2015_1038
271,277,25756,829782,107,160563,0.364041,https://uioencryptedtraffic.no/master_files/2015_1038
274,273,26026,829734,87,128783,0.375816,https://uioencryptedtraffic.no/master_files/2015_1038
280,276,26602,829780,91,131837,0.357961,https://uioencryptedtraffic.no/master_files/2015_1038
275,275,26116,829758,93,138317,0.353801,https://uioencryptedtraffic.no/master_files/2015_1038
266,260,25306,776124,77,112893,0.343562,https://uioencryptedtraffic.no/master_files/2015_1038
274,274,26026,829824,95,141495,0.384073,https://uioencryptedtraffic.no/master_files/2015_1038
272,275,25846,829680,103,152017,0.421897,https://uioencryptedtraffic.no/master_files/2015_1038
276,275,26206,829677,93,139774,0.361033,https://uioencryptedtraffic.no/master_files/2015_1038
271,277,25756,829782,91,133601,0.388617,https://uioencryptedtraffic.no/master_files/2015_1038
277,278,26296,829794,113,170097,0.401929,https://uioencryptedtraffic.no/master_files/2015_1038
276,277,26206,829714,91,131837,0.381001,https://uioencryptedtraffic.no/master_files/2015_1038
274,277,26026,829860,101,148103,0.403465,https://uioencryptedtraffic.no/master_files/2015_1038
277,273,26296,829734,95,140921,0.375369,https://uioencryptedtraffic.no/master_files/2015_1038
274,275,26026,826682,99,147851,0.443401,https://uioencryptedtraffic.no/master_files/2015_1038
278,274,26386,827060,87,127251,0.387593,https://uioencryptedtraffic.no/master_files/2015_1038
281,280,26713,830677,113,159758,11.69332,https://uioencryptedtraffic.no/master_files/2015_1038
