Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
19,28,2495,32096,26,13558,1.13472,https://en.wikipedia.org/wiki/Harrow_Health
15,24,2155,31685,18,11341,0.27394,https://en.wikipedia.org/wiki/Harrow_Health
17,24,2319,31684,25,16336,0.269844,https://en.wikipedia.org/wiki/Harrow_Health
14,24,2055,31686,21,13065,0.299028,https://en.wikipedia.org/wiki/Harrow_Health
18,24,2419,31685,21,13835,0.280149,https://en.wikipedia.org/wiki/Harrow_Health
15,23,2143,30137,23,15459,0.277012,https://en.wikipedia.org/wiki/Harrow_Health
17,24,2319,31685,27,17972,0.285204,https://en.wikipedia.org/wiki/Harrow_Health
17,24,2319,31685,21,13064,0.291413,https://en.wikipedia.org/wiki/Harrow_Health
15,24,2143,31685,25,16336,0.273428,https://en.wikipedia.org/wiki/Harrow_Health
17,24,2319,31686,13,7279,0.280084,https://en.wikipedia.org/wiki/Harrow_Health
17,24,2319,31687,21,13065,0.279124,https://en.wikipedia.org/wiki/Harrow_Health
18,25,2395,31781,27,16507,0.277012,https://en.wikipedia.org/wiki/Harrow_Health
14,24,2067,31686,18,12111,0.275477,https://en.wikipedia.org/wiki/Harrow_Health
15,24,2143,31686,21,13064,0.280085,https://en.wikipedia.org/wiki/Harrow_Health
17,24,2319,31686,17,9734,0.278613,https://en.wikipedia.org/wiki/Harrow_Health
16,22,2231,28589,15,8155,0.301589,https://en.wikipedia.org/wiki/Harrow_Health
17,24,2319,31686,27,17972,0.279061,https://en.wikipedia.org/wiki/Harrow_Health
15,24,1626,31687,17,10551,0.268373,https://en.wikipedia.org/wiki/Harrow_Health
16,24,2231,31685,23,14642,0.267797,https://en.wikipedia.org/wiki/Harrow_Health
17,24,2319,31685,27,17154,0.290837,https://en.wikipedia.org/wiki/Harrow_Health
16,22,2275,28070,21,13823,0.267285,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
17,23,2351,28166,24,14771,1.058368,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
17,23,2364,28172,21,11618,0.696406,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
15,22,2187,28071,23,14700,0.285718,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
16,22,2275,28071,23,13364,0.289366,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
16,22,2275,28071,21,13064,0.267798,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
16,22,2275,28072,25,16337,0.27855,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
15,22,2187,28072,21,13065,0.26575,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
16,22,2275,28071,21,12487,0.269398,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
18,22,2475,28072,21,13064,0.27599,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
12,22,1923,28073,20,12977,0.26831,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
16,21,2275,26525,19,11429,0.279574,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
16,22,2275,28071,15,8155,0.330326,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
16,21,2275,26523,25,16335,0.271382,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
15,22,2187,28072,19,12187,0.274454,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
15,23,2232,28337,21,12584,0.326742,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
16,21,2275,26523,15,8915,0.274966,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
16,23,2275,28166,22,12570,0.694358,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
16,22,2275,28072,25,16336,0.26831,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
12,22,1923,28071,18,11339,0.271446,https://en.wikipedia.org/wiki/Boxing_at_the_1952_Summer_Olympics_%E2%80%93_Welterweight
